Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,
"SAVING, FP 01/09/10 30 , 10024121739779000N - S/O",9/1/10,100,Debit,123456,2900,,,,
JJB FITNESS CLUB - D/D,9/1/10,38,Debit,123457,2862,,,,
"6628 01SEP10 , THE PAINTBALL , CENTRE , SURREY GB - POS",9/2/10,72.73,Debit,123458,2789.27,,,,
"MYATT , FP 02/09/10 30 , 40023342210412000N - S/O",9/2/10,100,Debit,123459,2689.27,,,,
"6628 02SEP10 , THE PAINTBALL , CENTRE , SURREY GB - POS",9/3/10,9.99,Debit,123460,2679.28,,,,
"6628 02SEP10 , ALDI STORES LTD , NEWCASTLE GB - POS",9/3/10,9.76,Debit,123461,2669.52,,,,
PAYMENT 2 EGG CARD - D/D,9/3/10,104.09,Debit,123462,2565.43,,,,
"6628 03SEP10 , BOOTS/0683 , JESMOND GB - POS",9/6/10,7.92,Debit,123463,2557.51,,,,
"6628 03SEP10 , SHELL , NEWCASTLE UPO GB - POS",9/6/10,20.02,Debit,123464,2537.49,,,,
"6628 05SEP10 , EC MAINLINE CO SST, NEWCASTLE UPO GB - POS",9/6/10,69.05,Debit,123465,2468.44,,,,
"6628 03SEP10 , SLATER MENS/005 - , NEWCASTLE-UPO GB - POS",9/6/10,199,Debit,123466,2269.44,,,,
O2 - D/D,9/6/10,47.41,Debit,123467,2222.03,,,,
"6628 04SEP10 , DF PAINTBALL , CRAMLINGTON GB - POS",9/6/10,122.2,Debit,123468,2099.83,,,,
"6628 05SEP10 , TRNSPRT FOR LONDON, LONDON GB - POS",9/7/10,10,Debit,123469,2089.83,,,,
NATWEST 07SEP - ATM,9/8/10,100,Debit,123470,1989.83,,,,
"6628 07SEP10 , GERONIMO INNS LTD , LONDON GB - POS",9/8/10,7.2,Debit,123471,1982.63,,,,
"6628 07SEP10 , PNR AUDIO VISION , LONDON GB - POS",9/8/10,25,Debit,123472,1957.63,,,,
NATWEST 07SEP - ATM,9/8/10,250,Debit,123473,1707.63,,,,
"6628 09SEP10 , TESCO STORES-SACAT, NEWCASTLE UPO GB - POS",9/10/10,16.93,Debit,123474,1690.7,,,,
12SEP GRS 24885126 - INT,9/13/10,0.01,Credit,123475,1690.71,,,,
"6628 10SEP10 , HYENA , NEWCASTLE UPO GB - POS",9/13/10,88,Debit,123476,1602.71,,,,
"6628 10SEP10 , ASDA SUPERSTORE , GOSFORTH GB - POS",9/13/10,19.67,Debit,123477,1583.04,,,,
12SEP GRS 24947318 - INT,9/13/10,0.21,Credit,123478,1583.25,,,,
"6628 12SEP10 , LONSDALE HOTEL , NEWCASTLE UPO GB - POS",9/13/10,7.93,Debit,123479,1575.32,,,,
BARCLAYS BNK 12SEP - ATM,9/13/10,30,Debit,123480,1545.32,,,,
"6628 10SEP10 , TRIPLE S CLOTHING , NEWCASTLE GB - POS",9/13/10,50,Debit,123481,1495.32,,,,
"6628 13SEP10 , WM MORRISON PLC , NEWCASTLE UPO GB - POS",9/14/10,9.63,Debit,123482,1485.69,,,,
"6628 12SEP10 , SHELL , NEWCASTLE UPO GB - POS",9/14/10,29.09,Debit,123483,1456.6,,,,
HSBC 15SEP - ATM,9/15/10,30,Debit,123484,1426.6,,,,
"6628 15SEP10 , SHELL , PETERLEE GB - POS",9/16/10,40.32,Debit,123485,1386.28,,,,
"6628 15SEP10 , FENWICK LTD , NEWCASTLE , NEWCASTLE GB - POS",9/16/10,30,Debit,123486,1356.28,,,,
000094 - CHQ,9/16/10,269,Debit,123487,1087.28,,,,
"6628 15SEP10 , FELLINI'S , MIDDLESBROUGH GB - POS",9/17/10,20.1,Debit,123488,1067.18,,,,
"6628 19SEP10 , EC MAINLINE CO SST, NEWCASTLE UPO GB - POS",9/20/10,69.05,Debit,123489,998.13,,,,
"6628 20SEP10 , PHO (ST JOHNS , STREET) , LONDON GB - POS",9/21/10,17.45,Debit,123490,980.68,,,,
BARCLAYS BNK 20SEP - ATM,9/21/10,80,Debit,123491,900.68,,,,
