Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,
"4113 30NOV10 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",12/1/10,17.36,Debit,123456,"1,482.64",,,,,,
"SAVING, FP 01/12/10 30 , 20024306280680000N - S/O",12/1/10,100.00,Debit,123457,"1,382.64",,,,,,
"4113 01DEC10 , SAINSBURYS SUPERMA, GREAT PORTLAN GB - POS",12/2/10,10.24,Debit,123458,"1,372.40",,,,,,
"MYATT , PETER , FP 02/12/10 30 , 47023353867647000N - S/O",12/2/10,100.00,Debit,123459,"1,272.40",,,,,,
NATWEST 03DEC - ATM,12/3/10,10.00,Debit,123460,"1,262.40",,,,,,
NATWEST 03DEC - ATM,12/3/10,30.00,Debit,123461,"1,232.40",,,,,,
"4113 03DEC10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",12/6/10,4.51,Debit,123462,"1,227.89",,,,,,
PAYMENT 2 EGG CARD - D/D,12/6/10,9.83,Debit,123463,"1,218.06",,,,,,
LLOYDS BANK 04DEC - ATM,12/6/10,40.00,Debit,123464,"1,178.06",,,,,,
"4113 06DEC10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",12/7/10,25.80,Debit,123465,"1,152.26",,,,,,
"4113 08DEC10 , SHEBA BRICK LANE , LONDON GB - POS",12/9/10,12.70,Debit,123466,"1,139.56",,,,,,
"4113 08DEC10 , MARKS &amp; SPENCER , FENCHURCH ST GB - POS",12/9/10,6.00,Debit,123467,"1,133.56",,,,,,
"4113 07DEC10 , N S P C C DONATION, 0207 8252678 GB - POS",12/9/10,10.00,Debit,123468,"1,123.56",,,,,,
"4113 09DEC10 , WWW.TALKCOVER.COM , INTERNET GB - POS",12/10/10,71.91,Debit,123469,"1,051.65",,,,,,
"4113 09DEC10 , SAINSBURYS SUPERMA, GREAT PORTLAN GB - POS",12/10/10,6.08,Debit,123470,"1,045.57",,,,,,
SAINSBURYS 10DEC - ATM,12/10/10,30.00,Debit,123471,"1,015.57",,,,,,
TIM PROBERTWOOD - S/O,12/10/10,808.34,Debit,123472,207.23,,,,,,
"4113 11DEC10 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",12/13/10,18.73,Debit,123473,188.50,,,,,,
"4113 12DEC10 , THE RIVERSIDE , LONDON SW8 GB - POS",12/13/10,14.65,Debit,123474,173.85,,,,,,
NATWEST 11DEC - ATM,12/13/10,40.00,Debit,123475,133.85,,,,,,
"4113 11DEC10 , MY SINGLE FRIEND , MYSINGLEFRIEN GB - POS",12/13/10,38.00,Debit,123476,95.85,,,,,,
"4113 13DEC10 , SACAT SAINSBURYS , LONDON 4920 GB - POS",12/14/10,8.10,Debit,123477,87.75,,,,,,
"4113 14DEC10 , LONDON OVERGROUND-, LNDN NW6 1382 GB - POS",12/16/10,25.80,Debit,123478,61.95,,,,,,
"4113 15DEC10 , TESCO STORES , MARYLEBONE GB - POS",12/16/10,7.28,Debit,123479,54.67,,,,,,
"4113 16DEC10 , WCC COUNCIL TAX , WESTMINSTER GB - POS",12/17/10,121.80,Debit,123480,-67.13,,,,,,
ALL &amp; LEICS 16DEC - ATM,12/17/10,50.00,Debit,123481,-117.13,,,,,,
"4113 19DEC10 , PUTNEY FEZ , LONDON GB - POS",12/20/10,16.40,Debit,123482,-133.53,,,,,,
"4113 16DEC10 , TFL CYCLE HIRE , LONDON E6 GB - POS",12/20/10,48.00,Debit,123483,-181.53,,,,,,
ORANGE - D/D,12/20/10,37.92,Debit,123484,-219.45,,,,,,
RAPHAEL BANK 18DEC - ATM,12/20/10,50.00,Debit,123485,-269.45,,,,,,
"4113 19DEC10 , FIRE &amp; STONE , LONDON GB - POS",12/21/10,25.00,Debit,123486,-294.45,,,,,,
"9664 18DEC10 , VIRGIN MEDIA PYMTS - TFR",12/21/10,35.00,Credit,123487,-259.45,,,,,,
