Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,,,,,,,
"RICHARD MYATT , PETER , FP 04/04/11 30 , 10023641660061000N - S/O",4/4/11,100.00,Debit,123508,696.25,,,,,,,,
PAYMENT 2 EGG CARD - D/D,4/4/11,9.51,Debit,123509,686.74,,,,,,,,
"4113 02APR11 , MCDONALDS , LONDON GB - POS",4/4/11,8.53,Debit,123510,678.21,,,,,,,,
"4113 04APR11 , TICKETS , 08712200260 GB - POS",4/5/11,154.95,Debit,123511,523.26,,,,,,,,
"4113 04APR11 , TESCO STORES 2722 , EUSTON GB - POS",4/5/11,5.46,Debit,123512,517.80,,,,,,,,
"4113 04APR11 , MY SINGLE FRIEND , MYSINGLEFRIEN GB - POS",4/5/11,44.00,Debit,123513,473.80,,,,,,,,
"4113 05APR11 , THE CURRY BAZAAR , LTD , LONDON GB - POS",4/6/11,12.70,Debit,123514,461.10,,,,,,,,
"4113 06APR11 , CASTLE CLIMBING , CASTLE CLIMBI GB - POS",4/7/11,65.00,Debit,123515,396.10,,,,,,,,
"0724 07APR11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",4/8/11,1.80,Debit,123516,394.30,,,,,,,,
"4113 06APR11 , TRAFALGAR TAVERN , LONDON GB - POS",4/8/11,10.55,Debit,123517,383.75,,,,,,,,
"4113 10APR11 , BOHEME KITCHEN AND, BAR , LONDON . GB - POS",4/11/11,11.28,Debit,123518,372.47,,,,,,,,
"4113 08APR11 , SAINSBURYS SUPERMA, GREAT PORTLAN GB - POS",4/11/11,3.40,Debit,123519,369.07,,,,,,,,
"4113 10APR11 , NEW SOUTHERN RAILW, BRIGHTON 8882 GB - POS",4/11/11,9.85,Debit,123520,359.22,,,,,,,,
"4113 08APR11 , CO-OP GROUP 180274, GREENWICH GB - POS",4/11/11,10.16,Debit,123521,349.06,,,,,,,,
CO-OPERATIVE 10APR - ATM,4/11/11,10.00,Debit,123522,339.06,,,,,,,,
NATWEST 09APR - ATM,4/11/11,30.00,Debit,123523,309.06,,,,,,,,
TIM PROBERTWOOD - S/O,4/11/11,808.34,Debit,123524,-499.28,,,,,,,,
"4113 11APR11 , SAINSBURYS SUPERMA, KILBURN GB - POS",4/12/11,18.95,Debit,123525,-518.23,,,,,,,,
"4113 11APR11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",4/12/11,1.50,Debit,123526,-519.73,,,,,,,,
"4113 11APR11 , TESCO STORES 2722 , EUSTON GB - POS",4/12/11,2.60,Debit,123527,-522.33,,,,,,,,
SAINSBURYS 12APR - ATM,4/12/11,50.00,Debit,123528,-572.33,,,,,,,,
"4113 12APR11 , TESCO STORES 2722 , EUSTON GB - POS",4/13/11,20.17,Debit,123529,-592.50,,,,,,,,
MYATT A TPM - OTR,4/13/11,500.00,Credit,123530,-92.50,,,,,,,,
"4113 12APR11 , RODIZIO RICO , LONDON GB - POS",4/14/11,44.00,Debit,123531,-136.50,,,,,,,,
BARCLAYS BNK 13APR - ATM,4/14/11,30.00,Debit,123532,-166.50,,,,,,,,
"4113 16APR11 , TFL TOM , LONDON GB - POS",4/18/11,4.00,Debit,123533,-170.50,,,,,,,,
"4113 15APR11 , CARPHONE WAREHOUSE, OXFORD ST 016 GB - POS",4/18/11,17.95,Debit,123534,-188.45,,,,,,,,
NATWEST 18APR - ATM,4/18/11,30.00,Debit,123535,-218.45,,,,,,,,
"4113 19APR11 , THETRAINLINE.COM , 08712 441 545 GB - POS",4/20/11,56.00,Debit,123536,-274.45,,,,,,,,
"4113 19APR11 , SACAT SAINSBURYS , LONDON 4920 GB - POS",4/20/11,3.00,Debit,123537,-277.45,,,,,,,,
"4113 19APR11 , THE FOLLY , LONDON GB - POS",4/20/11,8.20,Debit,123538,-285.65,,,,,,,,
ORANGE - D/D,4/20/11,36.77,Debit,123539,-322.42,,,,,,,,
NOTEMACHINE 19APR - ATM,4/20/11,30.00,Debit,123540,-352.42,,,,,,,,
"4113 21APR11 , THE TOUCAN , LONDON GB - POS",4/26/11,23.50,Debit,123541,-375.92,,,,,,,,
"4113 21APR11 , TESCO STORES 2722 , EUSTON GB - POS",4/26/11,3.85,Debit,123542,-379.77,,,,,,,,
"4113 22APR11 , BULLFROGS CLOTHING, AND , LONDON GB - POS",4/26/11,20.00,Debit,123543,-399.77,,,,,,,,
"4113 23APR11 , ZERODEGREES , LONDON GB - POS",4/26/11,12.00,Debit,123544,-411.77,,,,,,,,
"4113 25APR11 , SACAT SAINSBURYS , QUEENS PARK 4 GB - POS",4/26/11,27.28,Debit,123545,-439.05,,,,,,,,
NATWEST 24APR - ATM,4/26/11,30.00,Debit,123546,-469.05,,,,,,,,
SAINSBURYS 22APR - ATM,4/26/11,60.00,Debit,123547,-529.05,,,,,,,,
