Description,Post Date,Transaction Amount,Transaction Base Type,Transaction Id,Balance,,
"5620 09JUL10 , TESCO STORES SACAT, LONDON GB - POS",7/12/10,10.64,Debit,123516,-8.92,,
11JUL GRS 24947318 - INT,7/12/10,0.13,Credit,123517,-8.79,,
"5620 09JUL10 , STAGECOACH SOUTH W, LONDON SE1 GB - POS",7/12/10,37.60,Debit,123518,-46.39,,
"5620 10JUL10 , WATERSTONES , GOWER ST LOND GB - POS",7/12/10,18.98,Debit,123519,-65.37,,
"5620 10JUL10 , H &amp; M , OXFORD ST 351 GB - POS",7/12/10,28.97,Debit,123520,-94.34,,
"5620 11JUL10 , TESCO STORES SACAT, LONDON GB - POS",7/12/10,5.02,Debit,123521,-99.36,,
"5620 10JUL10 , RYMAN 1171 , LONDON GB - POS",7/12/10,7.45,Debit,123522,-106.81,,
"0224 12JUL10 2015 , TESCO STORE 5518 , LONDON SE1 - POS",7/13/10,2.95,Debit,123523,-109.76,,
"5620 12JUL10 , AMAZON *MKTPLCE , EU-UK , AMAZON.CO.UK LU - POS",7/13/10,7.69,Debit,123524,-117.45,,
"5620 12JUL10 , AMAZON *MKTPLCE , EU-UK , AMAZON.CO.UK LU - POS",7/13/10,2.98,Debit,123525,-120.43,,
"0224 13JUL10 1317 , TESCO STORE 5518 , LONDON SE1 - POS",7/14/10,5.05,Debit,123526,-125.48,,
"5620 13JUL10 , TFL MFM , LEICESTER SQU GB - POS",7/14/10,10.00,Debit,123527,-135.48,,
WOOD HOLMES GRP LT - BAC,7/14/10,576.18,Credit,123528,440.70,,
"5620 13JUL10 , LONDON THEATRE , BOOKING , LONDON GB - POS",7/14/10,25.00,Debit,123529,415.70,,
"5620 13JUL10 , PHOENIX THEATRE , LONDON GB - POS",7/14/10,8.80,Debit,123530,406.90,,
"5620 14JUL10 , TESCO STORES 5518 , LONDON GB - POS",7/15/10,10.59,Debit,123531,396.31,,
"5620 14JUL10 , AMAZON *MKTPLCE , EU-UK , AMAZON.CO.UK LU - POS",7/15/10,14.80,Debit,123532,381.51,,
"5620 13JUL10 , PORCUPINE , LONDON GB - POS",7/15/10,7.05,Debit,123533,374.46,,
"5620 14JUL10 , EC MAINLINE CO SST, LNDON N1 7729 GB - POS",7/16/10,40.00,Debit,123534,334.46,,
"5620 17JUL10 , ASDA SUPERSTORE , GOSFORTH GB - POS",7/19/10,9.80,Debit,123535,324.66,,
"5620 18JUL10 , AMAZON EU , AMAZON.CO.UK LU - POS",7/19/10,18.41,Debit,123536,306.25,,
LLOYDS BANK 17JUL - ATM,7/19/10,100.00,Debit,123537,206.25,,
"5620 17JUL10 , SPORTSDIRECT.COM , NEWCASTLE SIL GB - POS",7/20/10,68.97,Debit,123538,137.28,,
"5620 19JUL10 , EC MAINLINE CO SST, NEWCASTLE UPO GB - POS",7/21/10,118.10,Debit,123539,19.18,,
"0224 25JUL10 0012 , STEIN BIER KELLER , NEWCASTLE UPO - POS",7/26/10,6.10,Debit,123540,13.08,,
"0224 25JUL10 1651 , PARKLANDS , NEWCASTLE UPO - POS",7/26/10,34.00,Debit,123541,-20.92,,
"5620 23JUL10 , ASDA SUPERSTORE , GOSFORTH GB , CASH BACK 20.00 - POS",7/26/10,36.39,Debit,123542,-57.31,,
"5620 24JUL10 , SPECTRUM IMAGING , NEWCASTLE UPO GB - POS",7/27/10,36.00,Debit,123543,-93.31,,
"5620 24JUL10 , PITCHER &amp; PIANO , NEWCASTLE GB - POS",7/27/10,6.00,Debit,123544,-99.31,,
"0224 27JUL10 0000 , ODEON/BOOKIT , SILVERLINK - POS",7/28/10,24.30,Debit,123545,-123.61,,
WOOD HOLMES GRP LT - BAC,7/29/10,"1,348.73",Credit,123546,"1,225.12",,
"CALL REF.NO. 0103 , FROM A/C 24947318 - OTR",8/2/10,200.00,Credit,123547,"1,425.12",,
"6628 31JUL10 , CAMINO , LONDON GB - POS",8/2/10,10.60,Debit,123548,"1,414.52",,
"6628 01AUG10 , COSTA COFFEE , LONDON GB - POS",8/2/10,5.30,Debit,123549,"1,409.22",,
"CALL REF.NO. 0103 , TO A/C 24885126 - OTR",8/2/10,200.00,Debit,123550,"1,209.22",,
"6628 31JUL10 , THE BIG CHILL , HOUSE , LONDON N1 GB - POS",8/2/10,7.30,Debit,123551,"1,201.92",,
JJB FITNESS CLUB - D/D,8/2/10,37.00,Debit,123552,"1,164.92",,
NATWEST 01AUG - ATM,8/2/10,10.00,Debit,123553,"1,154.92",,
"MYATT , FP 02/08/10 30 , 04024440144687000N - S/O",8/2/10,100.00,Debit,123554,"1,054.92",,
"SAVING, FP 02/08/10 30 , 06024440179274000N - S/O",8/2/10,100.00,Debit,123555,954.92,,
"6628 02AUG10 , PARKLANDS , NEWCASTLE UPO GB - POS",8/3/10,24.00,Debit,123556,930.92,,
PAYMENT 2 EGG CARD - D/D,8/3/10,43.66,Debit,123557,887.26,,
ROYAL BANK 03AUG - ATM,8/4/10,60.00,Debit,123558,827.26,,
O2 - D/D,8/4/10,37.94,Debit,123559,789.32,,
"6628 05AUG10 , TESCO STORES SACAT, PORT GLASGOW GB - POS",8/6/10,10.09,Debit,123560,779.23,,
"6628 06AUG10 , TESCO STORES 5967 , NEWCASTLE UPO GB - POS",8/9/10,10.76,Debit,123561,768.47,,
"6628 05AUG10 , SHELL BYKER 276 , BYKER GB - POS",8/9/10,46.33,Debit,123562,722.14,,
ROYAL BANK 06AUG - ATM,8/9/10,40.00,Debit,123563,682.14,,
"6628 09AUG10 , EC MAINLINE CO SST, NEWCASTLE UPO GB - POS",8/10/10,69.05,Debit,123564,613.09,,
10AUG GRS 24885126 - INT,8/11/10,0.01,Credit,123565,613.10,,
10AUG GRS 24947318 - INT,8/11/10,0.16,Credit,123566,613.26,,
THE ECONOMIST - D/D,8/13/10,29.00,Debit,123567,584.26,,
"6628 13AUG10 , WM MORRISONS , NEWCASTLE UPO GB - POS",8/16/10,14.35,Debit,123568,569.91,,
BARCLAYS BNK 15AUG - ATM,8/16/10,30.00,Debit,123569,539.91,,
"6628 15AUG10 , AVOR GARAGES (N/E), STANNINGTON GB - POS",8/17/10,16.07,Debit,123570,523.84,,
"6628 18AUG10 , ROEBUCK , LONDON SE1 GB - POS",8/19/10,16.28,Debit,123571,507.56,,
"6628 18AUG10 , EC MAINLINE CO SST, NEWCASTLE UPO GB - POS",8/19/10,69.05,Debit,123572,438.51,,
"6628 19AUG10 , DELAZIZ LTD , LONDON SE1 GB - POS",8/20/10,30.28,Debit,123573,408.23,,
CITIBANK 19AUG - ATM,8/20/10,20.00,Debit,123574,388.23,,
BARCLAYS BNK 24AUG - ATM,8/24/10,40.00,Debit,123575,348.23,,
"6628 24AUG10 , EMPIRE CINEMAS , NEWCASTLE GB - POS",8/25/10,10.65,Debit,123576,337.58,,
"6628 24AUG10 , MOORHOUSE FARM , MORPETH GB - POS",8/25/10,6.10,Debit,123577,331.48,,
"6628 24AUG10 , SHELL , NEWCASTLE UPO GB - POS",8/25/10,26.99,Debit,123578,304.49,,
